Name,Rarity,Attunement,Type,Source,Description,URL,Notes
Armblade,common,requires attunement by a warforged,Weapon (any one-handed melee weapon),Eberron - Rising from the Last War,"An armblade is a magic weapon that attaches to your arm, becoming inseparable from you as long as you're attuned to it. To attune to this item, you must hold it against your forearm for the entire attunement period.
As a bonus action, you can retract the armblade into your forearm or extend it from there. While it is extended, you can use the weapon as if you were holding it, and you can't use that hand for other purposes.
",http://dnd5e.wikidot.com/wondrous-items:armblade,
Armor of Gleaming,common,No Attunement,Armor (any medium  heavy),Xanathar's Guide to Everything,"This armor never gets dirty.
",http://dnd5e.wikidot.com/wondrous-items:armor-of-gleaming,
Bead of Nourishment,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This spongy, flavorless, gelatinous bead dissolves on your tongue and provides as much nourishment as 1 day of rations.
",http://dnd5e.wikidot.com/wondrous-items:bead-of-nourishment,
Bead of Refreshment,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This spongy, flavorless, gelatinous bead dissolves in liquid, transforming up to a pint of the liquid into fresh, cold drinking water. The bead has no effect on magical liquids or harmful substances such as poison.
",http://dnd5e.wikidot.com/wondrous-items:bead-of-refreshment,
Boots of False Tracks,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"Only humanoids can wear these boots. While wearing the boots, you can choose to have them leave tracks like those of another kind of humanoid of your size.
",http://dnd5e.wikidot.com/wondrous-items:boots-of-false-tracks,
Bottle of Boundless Coffee,Common,No Attunement,Wondrous Item,trixhaven: A Curriculum of Chaos,"This metal bottle carries delicious, warm coffee. The bottle comes with a stopper, which is attached to the bottle by a little chain. Even when open, the bottle won't accept any liquid other than the coffee it produces. The coffee inside is always comfortably warm, and none of the heat can be felt through the bottle.
Each time you drink the coffee, roll a d20. On a 1, the bottle refuses to dispense coffee for the next hour. If you pour coffee from the bottle, rather than drinking from it, the coffee vanishes the moment it leaves the bottle.
",http://dnd5e.wikidot.com/wondrous-items:bottle-of-boundless-coffee,
Breathing Bubble,common,No Attunement,Wondrous item,Explorer's Guide to Wildemount,"This translucent, bubble-like sphere has a slightly tacky outer surface, and you gain the item's benefits only while wearing it over your head like a helmet.
The bubble contains 1 hour of breathable air. The bubble regains all its expended air daily at dawn.
",http://dnd5e.wikidot.com/wondrous-items:breathing-bubble,
Candle of the Deep,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"The flame of this candle is not extinguished when immersed in water. It gives off light and heat like a normal candle.
",http://dnd5e.wikidot.com/wondrous-items:candle-of-the-deep,
Cast-Off Armor,common,No Attunement,"Armor (light, medium,  heavy)",Xanathar's Guide to Everything,"You can doff this armor as an action.
",http://dnd5e.wikidot.com/wondrous-items:cast-off-armor,
Charlatan's Die,common,requires attunement,Wondrous item,Xanathar's Guide to Everything,"Whenever you roll this six-sided die, you can control which number it rolls.
",http://dnd5e.wikidot.com/wondrous-items:charlatans-die,
Cleansing Stone,common,No Attunement,Wondrous item,Eberron - Rising from the Last War,"A cleansing stone is a sphere 1 foot in diameter, engraved with mystic sigils. When touching the stone, you can use an action to activate it and remove dirt and grime from your garments and your person.
Such stones are often embedded in pedestals in public squares in Aundair or in high-end Ghallanda inns.
",http://dnd5e.wikidot.com/wondrous-items:cleansing-stone,
Cloak of Billowing,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"While wearing this cloak, you can use a bonus action to make it billow dramatically.
",http://dnd5e.wikidot.com/wondrous-items:cloak-of-billowing,
Cloak of Many Fashions,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"While wearing this cloak, you can use a bonus action to change the style, color, and apparent quality of the garment. The cloak's weight doesn't change. Regardless of its appearance, the cloak can't be anything but a cloak. Although it can duplicate the appearance of other magic cloaks, it doesn't gain their magical properties.
",http://dnd5e.wikidot.com/wondrous-items:cloak-of-many-fashions,
Clockwork Amulet,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This copper amulet contains tiny interlocking gears and is powered by magic from Mechanus, a plane of clockwork predictability. A creature that puts an ear to the amulet can hear faint ticking and whirring noises coming from within.
When you make an attack roll while wearing the amulet, you can forgo rolling the d20 to get a 10 on the die. Once used, this property can't be used again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:clockwork-amulet,
Clothes of Mending,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This elegant outfit of traveler's clothes magically mends itself to counteract daily wear and tear. Pieces of the outfit that are destroyed can't be repaired in this way.
",http://dnd5e.wikidot.com/wondrous-items:clothes-of-mending,
Coin of Delving,common,No Attunement,Wondrous item,Explorer's Guide to Wildemount,"This scintillating copper coin sheds dim light in a 5-foot radius. If dropped a distance greater than 5 feet, the coin issues a melodious ringing sound when it hits a surface. Any creature that can hear the chime can determine the distance the coin dropped based on the tone.
",http://dnd5e.wikidot.com/wondrous-items:coin-of-delving,
Cuddly Strixhaven Mascot,Common,No Attunement,Wondrous Item,trixhaven: A Curriculum of Chaos,"Representing one of the mascots of Strixhaven, this soft, Tiny, magic toy is perfect for cuddling. If you press it to your arm, shoulder, or leg as an action, the toy stays attached there for 1 hour or until you use an action to remove it.
The toy can also be used to fight off fear. When you make a saving throw to avoid or end the frightened condition on yourself, you can give yourself advantage on the roll if the toy is on your person. You must decide to do so before rolling the d20. If the save succeeds, you can't use the toy in this way until you finish a long rest.
",http://dnd5e.wikidot.com/wondrous-items:cuddly-strixhaven-mascot,
Dark Shard Amulet,common,requires attunement by a warlock,Wondrous item,Xanathar's Guide to Everything,"This amulet is fashioned from a single shard of resilient extraplanar material originating from the realm of your warlock patron. While you are wearing it, you gain the following benefits:
",http://dnd5e.wikidot.com/wondrous-items:dark-shard-amulet,
Dread Helm,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This fearsome steel helm makes your eyes glow red while you wear it.
",http://dnd5e.wikidot.com/wondrous-items:dread-helm,
Ear Horn of Hearing,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"While held up to your ear, this horn suppresses the effects of the deafened condition on you, allowing you to hear normally.
",http://dnd5e.wikidot.com/wondrous-items:ear-horn-of-hearing,
Earring of Message,common,No Attunement,Wondrous item,Critical Role - Call of the Netherdee,"The blue crystal of this earring is wrapped with delicate copper wire. The earring has 5 charges. While wearing it, you can use an action to expend 1 charge and cast the Message spell. The earring regains 1d4 + 1 expended charges daily at dawn.
",http://dnd5e.wikidot.com/wondrous-items:earring-of-message,
